"policy_name","Votes ","policy url"
"Abortion, Embryology and Euthanasia- Against","29 (1)","http://www.publicwhip.org.uk/policy.php?id=813"
"Ban fox hunting",7,"http://www.publicwhip.org.uk/policy.php?id=1034"
"Business and community control of schools: For","13 (1)","http://www.publicwhip.org.uk/policy.php?id=1016"
"Cap or Reduce Civil Service Pay and Conditions",3,"http://www.publicwhip.org.uk/policy.php?id=1120"
"Civil aviation pollution - For limiting","8 (3)","http://www.publicwhip.org.uk/policy.php?id=794"
"Control Orders","36 (1)","http://www.publicwhip.org.uk/policy.php?id=981"
"Corporal punishment of children - Against","1 (1)","http://www.publicwhip.org.uk/policy.php?id=839"
"Crossrail - In favour",2,"http://www.publicwhip.org.uk/policy.php?id=827"
"Deployment of UK armed forces in Afghanistan",2,"http://www.publicwhip.org.uk/policy.php?id=1115"
"Equal Number of Electors Per Constituency",12,"http://www.publicwhip.org.uk/policy.php?id=1113"
"European Union - For","81 (2)","http://www.publicwhip.org.uk/policy.php?id=1065"
"Foundation hospitals - In favour","9 (1)","http://www.publicwhip.org.uk/policy.php?id=363"
"Fox hunting - Ban","17 (2)","http://www.publicwhip.org.uk/policy.php?id=1050"
"Freedom of Information Bill 2000 - Strengthen",16,"http://www.publicwhip.org.uk/policy.php?id=1008"
"Fully Elected House of Lords",11,"http://www.publicwhip.org.uk/policy.php?id=837"
"Gambling - Against permissiveness",9,"http://www.publicwhip.org.uk/policy.php?id=810"
"Hold a UK referendum on Lisbon EU Treaty",2,"http://www.publicwhip.org.uk/policy.php?id=1014"
"Homosexuality - Equal rights","32 (11)","http://www.publicwhip.org.uk/policy.php?id=826"
"Identity cards - For introduction","37 (11)","http://www.publicwhip.org.uk/policy.php?id=1051"
"Increase VAT",14,"http://www.publicwhip.org.uk/policy.php?id=1110"
"Iraq 2003 - For the invasion",6,"http://www.publicwhip.org.uk/policy.php?id=1049"
"Iraq Investigation - Necessary",19,"http://www.publicwhip.org.uk/policy.php?id=975"
"Ministers Can Intervene in Coroners' Inquests",6,"http://www.publicwhip.org.uk/policy.php?id=1071"
"No detention without charge or trial",12,"http://www.publicwhip.org.uk/policy.php?id=1039"
"No Polls Clash With MP Election System Referendum",6,"http://www.publicwhip.org.uk/policy.php?id=1119"
"Nuclear power - For",6,"http://www.publicwhip.org.uk/policy.php?id=852"
"Parliamentary scrutiny - Reduce",12,"http://www.publicwhip.org.uk/policy.php?id=856"
"Post office - in favour of Government policy",14,"http://www.publicwhip.org.uk/policy.php?id=1012"
"Post office closures - against",14,"http://www.publicwhip.org.uk/policy.php?id=1032"
"Privatise Royal Mail",4,"http://www.publicwhip.org.uk/policy.php?id=1105"
"Promote Occupational Pensions","7 (1)","http://www.publicwhip.org.uk/policy.php?id=1109"
"Proportional Representation Voting System - For ",6,"http://www.publicwhip.org.uk/policy.php?id=1084"
"Protesting near Parliament - Unrestricted",5,"http://www.publicwhip.org.uk/policy.php?id=629"
"Recreational drugs - Against legalization",5,"http://www.publicwhip.org.uk/policy.php?id=812"
"Referendum on Alternative Vote for MP Elections","9 (1)","http://www.publicwhip.org.uk/policy.php?id=1112"
"Remove Hereditary Peers from the House of Lords",9,"http://www.publicwhip.org.uk/policy.php?id=1079"
"Right to strike",2,"http://www.publicwhip.org.uk/policy.php?id=1021"
"Schools - Greater Autonomy","51 (1)","http://www.publicwhip.org.uk/policy.php?id=1074"
"Smoking ban - In favour","11 (1)","http://www.publicwhip.org.uk/policy.php?id=811"
"Stop climate change","36 (6)","http://www.publicwhip.org.uk/policy.php?id=1030"
"Termination of pregnancy - against",5,"http://www.publicwhip.org.uk/policy.php?id=1041"
"Terrorism laws - For","82 (1)","http://www.publicwhip.org.uk/policy.php?id=1053"
"The UK should not ratify the Lisbon Treaty",3,"http://www.publicwhip.org.uk/policy.php?id=1015"
"Transexuality - Against legal recognition","11 (4)","http://www.publicwhip.org.uk/policy.php?id=809"
"Transparency of Parliament",11,"http://www.publicwhip.org.uk/policy.php?id=996"
"Trident replacement - In favour",4,"http://www.publicwhip.org.uk/policy.php?id=984"
"Tuition fees - Set Upper Limit at £9,000 per Year",1,"http://www.publicwhip.org.uk/policy.php?id=1132"
"University education fees - Should be free",13,"http://www.publicwhip.org.uk/policy.php?id=367"
"University Tuition Fees - For",19,"http://www.publicwhip.org.uk/policy.php?id=1052"
"Voting age - Reduce to 16",2,"http://www.publicwhip.org.uk/policy.php?id=842"
"War - Parliamentary authority not necessary",3,"http://www.publicwhip.org.uk/policy.php?id=995"
"Alcohol - increase its availability (provisional)",5,"http://www.publicwhip.org.uk/policy.php?id=858"
"Alcohol - restrict its availability (provisional)",5,"http://www.publicwhip.org.uk/policy.php?id=960"
"Alcohol Liberalisation (provisional)",16,"http://www.publicwhip.org.uk/policy.php?id=1067"
"American imperialist hegemony: welcome (provisional)","2 (1)","http://www.publicwhip.org.uk/policy.php?id=1025"
"Asylum seekers: no rights (provisional)",1,"http://www.publicwhip.org.uk/policy.php?id=1026"
"Asylum System - More strict (provisional)","50 (2)","http://www.publicwhip.org.uk/policy.php?id=1087"
"Backbench power (provisional)",1,"http://www.publicwhip.org.uk/policy.php?id=1133"
"Banning ozone-depleting substances (provisional)",1,"http://www.publicwhip.org.uk/policy.php?id=1128"
"Big Business - against (provisional)","8 (1)","http://www.publicwhip.org.uk/policy.php?id=1060"
"British Humanist (provisional)","8 (2)","http://www.publicwhip.org.uk/policy.php?id=968"
"Cambridge Liberal Conservative (provisional)","5 (1)","http://www.publicwhip.org.uk/policy.php?id=961"
"Common Sense Party (provisional)",39,"http://www.publicwhip.org.uk/policy.php?id=988"
